
	Position			X			Y			Z			Units
	WC_wire1_phys49_pos		-46.45205952		4.064028606		0.000129946		mm
	WC_wire1_phys50_pos		31.54805894		-2.760097513		0.000110016		mm
	WC_wire1_phys51_pos		109.5481774		-9.584223634		9.0096E-05		mm
	WC_wire1_phys52_pos		187.5482958		-16.40834975		7.0166E-05		mm
	WC_wire1_phys53_pos		265.5484144		-23.23247587		5.0246E-05		mm
	WC_wire1_phys54_pos		343.5485328		-30.05660199		3.0316E-05		mm
	WC_wire1_phys55_pos		421.5486513		-36.88072811		1.0386E-05		mm
	WC_wire1_phys56_pos		499.5487697		-43.70485423		-9.534E-06		mm
	WC_wire1_phys57_pos		577.5488881		-50.52898034		-2.9464E-05		mm
	WC_wire1_phys58_pos		655.5490066		-57.35310647		-4.9384E-05		mm
	WC_wire1_phys59_pos		733.5491251		-64.17723258		-6.9314E-05		mm
	WC_wire1_phys60_pos		811.5492436		-71.00135871		-8.9244E-05		mm
	WC_wire1_phys61_pos		889.549362		-77.82548482		-0.000109164		mm
	WC_wire1_phys62_pos		967.5494804		-84.64961094		-0.000129094		mm
	WC_wire1_phys63_pos		-1027.157102		-89.8646021		0.000177216		mm
	WC_wire1_phys64_pos		-949.1569439		-83.0404725		0.000175366		mm
	WC_wire1_phys65_pos		-871.156786		-76.21634293		0.000173516		mm
	WC_wire1_phys66_pos		-793.1566281		-69.39221336		0.000171666		mm
	WC_wire1_phys67_pos		-715.1564702		-62.56808379		0.000169816		mm
	WC_wire1_phys68_pos		-637.1563123		-55.74395422		0.000167966		mm
	WC_wire1_phys69_pos		-559.1561544		-48.91982465		0.000166106		mm
	WC_wire1_phys70_pos		-481.1559965		-42.09569508		0.000164256		mm
	WC_wire1_phys71_pos		-403.1558386		-35.27156551		0.000162406		mm
	WC_wire1_phys72_pos		-325.1556807		-28.44743595		0.000160556		mm
	WC_wire1_phys73_pos		-247.1555228		-21.62330637		0.000158706		mm
	WC_wire1_phys74_pos		-169.1553649		-14.7991768		0.000156856		mm
	WC_wire1_phys75_pos		-91.15520703		-7.975047236		0.000155006		mm
	WC_wire1_phys76_pos		-13.1550491		-1.150917664		0.000153156		mm
	WC_wire1_phys77_pos		64.8451088		5.673211905		0.000151306		mm
	WC_wire1_phys78_pos		142.8452667		12.49734147		0.000149456		mm
	WC_wire1_phys79_pos		220.8454246		19.32147105		0.000147606		mm
	WC_wire1_phys80_pos		298.8455825		26.14560061		0.000145756		mm
	WC_wire1_phys81_pos		376.8457404		32.96973018		0.000143896		mm
	WC_wire1_phys82_pos		454.8458983		39.79385975		0.000142046		mm
	WC_wire1_phys83_pos		532.8460562		46.61798932		0.000140196		mm
	WC_wire1_phys84_pos		610.8462141		53.44211889		0.000138346		mm
	WC_wire1_phys85_pos		688.846372		60.26624846		0.000136496		mm
	WC_wire1_phys86_pos		766.8465299		67.09037803		0.000134646		mm
	WC_wire1_phys87_pos		844.8466878		73.9145076		0.000132796		mm
	WC_wire1_phys88_pos		922.8468457		80.73863717		0.000130946		mm
	WC_wire1_phys89_pos		1000.847004		87.56276674		0.000129096		mm
	WC_wire1_phys90_pos		-1296.291078		113.410774		-4.73E-05		mm
	WC_wire1_phys91_pos		-1218.29118		106.5866671		-4.98E-05		mm
	WC_wire1_phys92_pos		-1140.291283		99.76256039		-5.23E-05		mm
	WC_wire1_phys93_pos		-1062.291386		92.93845364		-5.47E-05		mm
	WC_wire1_phys94_pos		-984.2914879		86.1143468		-5.72E-05		mm
	WC_wire1_phys95_pos		-906.2915909		79.29024005		-5.97E-05		mm
	WC_wire1_phys96_pos		-828.2916938		72.4661333		-6.22E-05		mm
	WC_wire1_phys97_pos		-750.2917963		65.64202652		-6.47E-05		mm
	WC_wire1_phys98_pos		-672.291899		58.81791974		-6.71E-05		mm
	WC_wire1_phys99_pos		-594.2920016		51.99381297		-6.96E-05		mm
	WC_wire1_phys100_pos		-516.2921043		45.16970619		-7.21E-05		mm
	WC_wire1_phys101_pos		-438.2922069		38.34559941		-7.46E-05		mm
	WC_wire1_phys102_pos		-360.2923095		31.52149264		-7.71E-05		mm
	WC_wire1_phys103_pos		-282.2924122		24.69738586		-7.95E-05		mm
	WC_wire1_phys104_pos		-204.2925148		17.87327909		-8.2E-05		mm
	WC_wire1_phys105_pos		-126.2926175		11.04917232		-8.45E-05		mm
	WC_wire1_phys106_pos		-48.29272017		4.225065546		-8.7E-05		mm
	WC_wire1_phys107_pos		29.70717719		-2.59904123		-8.95E-05		mm
	WC_wire1_phys108_pos		107.7070746		-9.423148005		-9.19E-05		mm
	WC_wire1_phys109_pos		185.7069719		-16.24725478		-9.44E-05		mm
	WC_wire1_phys110_pos		263.7068693		-23.07136156		-9.69E-05		mm
	WC_wire1_phys111_pos		341.7067666		-29.89546833		-9.94E-05		mm
	WC_wire1_phys112_pos		419.706664		-36.71957511		-0.0001019		mm
	WC_wire1_phys113_pos		497.7065614		-43.54368188		-0.0001043		mm
	WC_wire1_phys114_pos		575.7064587		-50.36778866		-0.0001068		mm
	WC_wire1_phys115_pos		653.7063561		-57.19189543		-0.0001093		mm
	WC_wire1_phys116_pos		731.7062535		-64.01600221		-0.0001118		mm
	WC_wire1_phys117_pos		809.7061508		-70.84010898		-0.0001143		mm
	WC_wire1_phys118_pos		887.7060482		-77.66421576		-0.0001167		mm
	WC_wire1_phys119_pos		965.7059456		-84.48832254		-0.0001192		mm
	WC_wire1_phys120_pos		1043.705843		-91.31242931		-0.0001217		mm
	WC_wire1_phys121_pos		1121.70574		-98.13653609		-0.0001242		mm
	WC_wire1_phys122_pos		1199.705638		-104.9606429		-0.0001267		mm
	WC_wire1_phys123_pos		1277.705535		-111.7847496		-0.0001291		mm
	WC_wire1_phys124_pos		-1340.99456		-117.3218218		0.0002359		mm
	WC_wire1_phys125_pos		-1262.99463		-110.4977122		0.0002328		mm
	WC_wire1_phys126_pos		-1184.9947		-103.6736026		0.0002296		mm
	WC_wire1_phys127_pos		-1106.99477		-96.84949295		0.0002265		mm
	WC_wire1_phys128_pos		-1028.99484		-90.02538332		0.0002233		mm
	WC_wire1_phys129_pos		-950.99491		-83.2012737		0.0002202		mm
	WC_wire1_phys130_pos		-872.9949801		-76.37716407		0.0002171		mm
	WC_wire1_phys131_pos		-794.9950501		-69.55305445		0.0002139		mm
	WC_wire1_phys132_pos		-716.99512		-62.7289448		0.0002108		mm
	WC_wire1_phys133_pos		-638.9951901		-55.90483518		0.0002076		mm
	WC_wire1_phys134_pos		-560.9952602		-49.08072556		0.0002045		mm
	WC_wire1_phys135_pos		-482.9953303		-42.25661594		0.0002013		mm
	WC_wire1_phys136_pos		-404.9954003		-35.43250631		0.0001982		mm
	WC_wire1_phys137_pos		-326.9954704		-28.60839669		0.0001951		mm
	WC_wire1_phys138_pos		-248.9955405		-21.78428706		0.0001919		mm
	WC_wire1_phys139_pos		-170.9956105		-14.96017743		0.0001888		mm
	WC_wire1_phys140_pos		-92.99568059		-8.136067809		0.0001856		mm
	WC_wire1_phys141_pos		-14.99575065		-1.311958183		0.0001825		mm
	WC_wire1_phys142_pos		63.00417929		5.512151442		0.0001793		mm
	WC_wire1_phys143_pos		141.0041091		12.33626106		0.0001762		mm
	WC_wire1_phys144_pos		219.0040391		19.16037069		0.0001731		mm
	WC_wire1_phys145_pos		297.003969		25.98448031		0.0001699		mm
	WC_wire1_phys146_pos		375.003899		32.80858994		0.0001668		mm
	WC_wire1_phys147_pos		453.0038289		39.63269956		0.0001636		mm
	WC_wire1_phys148_pos		531.0037588		46.45680919		0.0001605		mm
	WC_wire1_phys149_pos		609.0036888		53.28091881		0.0001573		mm
	WC_wire1_phys150_pos		687.0036187		60.10502844		0.0001542		mm
	WC_wire1_phys151_pos		765.0035485		66.92913805		0.000151		mm
	WC_wire1_phys152_pos		843.0034785		73.75324768		0.0001479		mm
	WC_wire1_phys153_pos		921.0034084		80.57735731		0.0001448		mm
	WC_wire1_phys154_pos		999.0033384		87.40146693		0.0001416		mm
	WC_wire1_phys155_pos		1077.003268		94.22557656		0.0001385		mm
	WC_wire1_phys156_pos		1155.003198		101.0496862		0.0001353		mm
	WC_wire1_phys157_pos		1233.003128		107.8737958		0.0001322		mm
	WC_wire1_phys158_pos		1311.003058		114.6979054		0.000129		mm
	WC_wire2_phys0_pos		-665.3837912		58.21353863		-0.0001763		mm
	WC_wire2_phys1_pos		-587.3835556		51.38940225		-0.0001676		mm
	WC_wire2_phys2_pos		-509.3833199		44.56526588		-0.0001589		mm
	WC_wire2_phys3_pos		-431.3830842		37.74112951		-0.0001502		mm
	WC_wire2_phys4_pos		-353.3828486		30.91699314		-0.0001416		mm
	WC_wire2_phys5_pos		-275.3826129		24.09285676		-0.0001329		mm
	WC_wire2_phys6_pos		-197.3823773		17.26872039		-0.0001242		mm
	WC_wire2_phys7_pos		-119.3821416		10.44458402		-0.0001155		mm
	WC_wire2_phys8_pos		-41.38190597		3.620447648		-0.0001068		mm
	WC_wire2_phys9_pos		36.6183297		-3.203688726		-9.81E-05		mm
	WC_wire2_phys10_pos		114.6185654		-10.0278251		-8.94E-05		mm
	WC_wire2_phys11_pos		192.618801		-16.85196147		-8.07E-05		mm
	WC_wire2_phys12_pos		270.6190367		-23.67609785		-7.2E-05		mm
	WC_wire2_phys13_pos		348.6192724		-30.50023422		-6.33E-05		mm
	WC_wire2_phys14_pos		426.619508		-37.32437059		-5.46E-05		mm
